 ,Xem xong ngồi khóc như mưa 😭😭😭👻👻
 ,Híc híc
 ,Kênh này  cũng  có  phím cảm  động  đó  là  Tên cậu  là  gì 😇
 ,Tôi cứ  xem lại  xem đi  vì  hay quá  Đi kênh nay tom tắt  phim  thật  là  hay
 ,cj đăng nhìu video giống z nhaaa ><❤
 ,Tui xem muốn khóc nhưng ko khóc đc
 ,Huu
 ,1 bộ phim hay chắc cũng lấy đi nc mắt của nhiều người nếu họ đến đc với nhau chắc sẽ ko có cái kết buồn như z
 ,Huhuhuhuhuhu buồn quá
 ,Bộ phim này mik coi rồi và mik đã khóc rất nhiều
 ,Hay quá  muốn  khóc luôn
 ,"Phim này mình không có khóc, chỉ có cảm giác man mác buồn khó tả thôi."
 ,dù là hư cấu nhưng tôi đã khóc =((((
 ,CSCSCS
 ,😭😭😭
 ,wow hay quá😊😊
 ,Film hay thế nhể❤️
 ,"đg HAY VÀ QUÁ ĐẸP ĐÔI mừ😢
cái kết quá buồn cho chuyện tình."
 ,Đoạn cuối buồn rơi cả nước mắt :(
 ,i cry so much because gin is dead
 ,Phim này tên j v
 ,Ước j có phần 2 😿
 ,"Tui chỉ xem review thôi, xem đoạn ôm nhau mà khóc sướt mướt nửa tiếng :(((( Tui mít ướt quá không huhu :(((("
 ,Đom đóm của Jack.
 ,Liệu bây giờ Hotaru như thế nào rồi nhỉ còn vào khu rừng xanh đó nữa không
 ,Tác phẩm jack là đây chứ đâu đúng k đóm
 ,Anime xuất sắc
 ,Cám động quá chiếu nữa đi
 ,Chạm vào tha thằng đeo mặt nạ là nố mất bởi vì thằng đó là đom đóm cái này có bài hát
 ,Làm bộ tháng tư là lời nối dối của em đi ạ
 ,Thử yêu xa đi 🙃🙃😊
 ,Huhu cảm động púa 😢😫😭
 ,Em xem r
 ,roi
 ,❤❤❤😍😍😍
 ,Cảm động vãi
 ,Sao cô bé lại lạc ở đây??? 😊
 ,Ăn cái gậy của anh
 ,giống bài đom đóm của jack
 ,Xin tên bản nhạc nền đi admin hay quá...
 ,Tôi xém khóc
 ,Em rơi hết nước mắt rồi
 ,☺️♥️❤️🧡💛💜💙💚💗💕💞💓💗💖🌺
 ,❤️💙💚💛🧡💜💗💝😄
 ,Toc va vay len roi
 ,Quahay
 ,Mình nhớ bộ phim này còn có một bài hát tên là Hatoru nữa thì phải các bạn cứ nghe thử đi
 ,Quá buồn luôn 😭
 ,Câu chuyện thật buồn thật sự tôi đã khóc 😢🖤 tôi sẽ luôn nhớ câu chuyện này trong tim ❤️
 ,Xem bộ phim này tui buồn chết😭😭😭
 ,Toi xem phim nay roi
